Race Number,Track,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts,Track Type
21,Michigan,19,9,14,   Clint Bowyer,DeKalb   (Stewart Haas Racing),Ford,161,running,0,20,0,Oval
21,Michigan,20,22,17,   Chris Buescher,Fastenal / Wypall   (Jack Roush),Ford,161,running,0,-3,0,Oval
21,Michigan,21,6,88,   Alex Bowman,ChevyGoods.com / Adam's Polishes   (Rick Hendrick),Chevrolet,161,running,0,23,0,Oval
21,Michigan,22,36,32,   Corey LaJoie,Schluter Systems   (Archie St. Hilaire),Ford,161,running,0,15,0,Oval
21,Michigan,23,34,13,   Ty Dillon,GEICO   (Germain Racing),Chevrolet,161,running,0,14,0,Oval
21,Michigan,24,37,96,   Daniel Suarez,Toyota   (Gaunt Brothers),Toyota,161,running,0,13,0,Oval
21,Michigan,25,35,37,   Ryan Preece,Honey Nut Cheerios   (JTG-Daugherty Racing),Chevrolet,161,running,0,12,0,Oval
21,Michigan,26,26,27,   J.J. Yeley,Rick Ware Racing   (Rick Ware),Ford,161,running,1,0,0,Oval
21,Michigan,27,25,0,   Quin Houff,Creek Enterprise   (StarCom Racing),Chevrolet,161,running,0,10,0,Oval
21,Michigan,28,13,6,   Ryan Newman,Coca-Cola   (Jack Roush),Ford,161,running,0,-11,0,Oval
21,Michigan,29,21,34,   Michael McDowell,Martin Transportation Systems   (Bob Jenkins),Ford,161,running,0,8,0,Oval
21,Michigan,30,30,74,   Reed Sorenson,Fake Steak   (Spire Motorsports),Chevrolet,161,running,0,7,0,Oval
21,Michigan,31,18,3,   Austin Dillon,Dow Mobility Science   (Richard Childress),Chevrolet,161,running,0,6,0,Oval
21,Michigan,32,32,47,   Ricky Stenhouse Jr,Kroger / Planters / Slim Jim / NOS   (JTG-Daugherty Racing),Chevrolet,161,running,0,6,0,Oval
21,Michigan,33,38,66,   Timmy Hill,SBC Contractors   (Carl Long),Toyota,159,running,0,0,0,Oval
21,Michigan,34,16,41,   Cole Custer,HaasTooling.com / Jacob Companies   (Stewart Haas Racing),Ford,148,crash,0,3,0,Oval
21,Michigan,35,33,53,   Garrett Smithley,Victory Lane Quick Oil Change / Kendall Oil   (Rick Ware),Ford,141,steering,0,0,0,Oval
21,Michigan,36,31,38,   John H. Nemechek,Death Wish Coffee   (Bob Jenkins),Ford,127,crash,0,1,0,Oval
21,Michigan,37,27,15,   Brennan Poole,Rick Ware Racing   (Rick Ware),Chevrolet,125,engine,0,1,0,Oval
21,Michigan,38,28,51,   James Davison,Signing Day Sports   (Rick Ware),Ford,103,running,0,1,0,Oval
21,Michigan,39,39,7,   Joey Gase,"Wisconsin Lighting Labs   (Tommy Baldwin, Jr.)",Chevrolet,58,transmission,0,0,0,Oval
22,Michigan,1,20,4,   Kevin Harvick,Busch Light Apple   (Stewart Haas Racing),Ford,156,running,90,53,6,Oval
22,Michigan,2,15,11,   Denny Hamlin,FedEx Ground   (Joe Gibbs),Toyota,156,running,6,40,0,Oval
22,Michigan,3,18,19,   Martin Truex Jr,Auto-Owners Insurance   (Joe Gibbs),Toyota,156,running,0,34,0,Oval
22,Michigan,4,16,18,   Kyle Busch,M&M's Fudge Brownie   (Joe Gibbs),Toyota,156,running,4,49,0,Oval
22,Michigan,5,13,22,   Joey Logano,Shell / Pennzoil   (Roger Penske),Ford,156,running,0,35,0,Oval
22,Michigan,6,5,10,   Aric Almirola,Smithfield Hometown Originals   (Stewart Haas Racing),Ford,156,running,9,34,0,Oval
22,Michigan,7,6,21,   Matt DiBenedetto,#FordStrong Technicians   (Wood Brothers),Ford,156,running,0,37,0,Oval
22,Michigan,8,31,3,   Austin Dillon,Bass Pro Shops / Tracker Off Road   (Richard Childress),Chevrolet,156,running,0,29,0,Oval
22,Michigan,9,14,9,   Chase Elliott,Mountain Dew   (Rick Hendrick),Chevrolet,156,running,0,28,0,Oval
22,Michigan,10,11,1,   Kurt Busch,Monster Energy   (Chip Ganassi),Chevrolet,156,running,0,29,0,Oval
22,Michigan,11,9,48,   Jimmie Johnson,"Ally ""Fueling Futures""   (Rick Hendrick)",Chevrolet,156,running,0,26,0,Oval
22,Michigan,12,7,24,   William Byron,Axalta   (Rick Hendrick),Chevrolet,156,running,0,30,0,Oval
22,Michigan,13,28,6,   Ryan Newman,Castrol   (Jack Roush),Ford,156,running,0,24,0,Oval
22,Michigan,14,2,14,   Clint Bowyer,DeKalb   (Stewart Haas Racing),Ford,156,running,43,39,1,Oval
22,Michigan,15,4,42,   Matt Kenseth,Credit One Bank   (Chip Ganassi),Chevrolet,156,running,0,22,0,Oval
22,Michigan,16,25,37,   Ryan Preece,Honey Nut Cheerios   (JTG-Daugherty Racing),Chevrolet,156,running,0,21,0,Oval
22,Michigan,17,8,95,   Christopher Bell,Procore   (Leavine Family Racing),Toyota,156,running,0,36,0,Oval
22,Michigan,18,23,13,   Ty Dillon,GEICO   (Germain Racing),Chevrolet,156,running,0,19,0,Oval
22,Michigan,19,32,47,   Ricky Stenhouse Jr,Kroger / Planters / Slim Jim / NOS   (JTG-Daugherty Racing),Chevrolet,156,running,0,18,0,Oval
